SECURE,REMARK,STATUS,SKIPCOUNT
510050.SH,华夏上证50ETF2004,True,9999
510300.SH,华夏沪深300ETF2012,True,9999
510500.SH,南方中证500ETF2013,True,0
511260.SH,十年国债ETF,True,0
511010.SH,国债ETF,True,9999
512010.SH,易方达沪深300医药ETF,True,9999
512040.SH,富国中证价值ETF,True,9999
512690.SH,酒ETF,True,9999
512290.SH,国泰中证生物医药,True,0
513050.SH,易方达中概互联50ET,True,9999
513100.SH,国泰纳斯达克100ET2013,True,0
513500.SH,标普ETF,True,0
513880.SH,日经ETF,True,0
515070.SH,华夏中证人工智能主题E,True,9999
515100.SH,景顺长城红利低波动100ETF,True,0
515180.SH,易方达中证红利ETF,True,9999
515220.SH,煤炭ETF,True,0
515250.SH,智能汽车ETF,True,0
515290.SH,天弘银行ETF,True,0
515880.SH,国泰通信ETF,True,0
516150.SH,嘉实中证稀土产业ETF,True,9999
518800.SH,国泰黄金ETF2013,True,0
588000.SH,上证科创etf,True,9999
588120.SH, 科创100,True,9999
588200.SH, 科创芯片,True,9999
600733.SH, 北汽蓝谷,True,0
601127.SH, 赛力斯,True,0
601838.SH, 成都银行,True,0
159770.SZ,天弘中证机器人ETF,True,9999
159811.SZ,博时中证5G产业50ETF,True,9999
159825.SZ,农业ETF,True,9999
159857.SZ,天弘中证光伏产业ETF,True,9999
159867.SZ,畜牧ETF,True,0
159869.SZ,华夏中证动漫游戏ETF,True,0
159892.SZ,恒生医药ETF,True,9999
159936.SZ,广发中证全指可选消费E,True,9999
159980.SZ,大成有色金属期货ETF,True,9999
159981.SZ,建信易盛能源化工期货ETF,True,0
159985.SZ,华夏饲料豆粕期货ETF,True,0
159998.SZ,天弘中证计算机ETF,True,9999
161226.SZ,国投瑞银白银期货LOF,True,9999
